name,locale
HF (high frequency),en
HiCAD,en
High frequency technology,en
High-pressure cleaning,en
High-speed craft,en
High voltage switches (maintenance),en
High voltage technology,en
Hiking (training/coaching),en
Hip-hop music (instrumental performance),en
Hip-hop music (teaching),en
Hip-hop music (vocal performance),en
Histopathology (biomedical analysis),en
Historical guiding,en
Historical painting techniques,en
History,en
History (teaching),en
History of art,en
History of art (teaching),en
History of film (teaching),en
History of ideas,en
History of ideas (teaching),en
History of literature,en
History of literature (teaching),en
History of philosophy,en
History of religions (teaching),en
History of style,en
Hit songs playing,en
Hit songs vocal performance,en
HIV/AIDS,en
Hole cutting (construction),en
Hole grinding,en
Holiday homes (brokering),en
Home care,en
Home for care and living,en
Home nursing,en
Homeopathy,en
Hoof care,en
Horse (providing training),en
Horse anatomy,en
Horse racing (training/coaching),en
Horticultural science,en
Horticulture,en
Hosiery knitting machine,en
Hospital cleaning,en
Hospital dental care (nursing),en
Hospital equipping,en
Hospital laboratory work,en
Hospital meals,en
Hospital pharmacy work,en
Hospital photography,en
Hospital physics (medico-technical area engineering),en
Hospital reception,en
Hotel and restaurant furnishing,en
Hotel management,en
Hotel premises caretaking,en
Hotel reception,en
Hotel service (teaching),en
Hot food (cooking),en
Hot joining,en
Hot rolling,en
Hot water plant (maintenance),en
House assembly (house fitting),en
House building technology,en
Household appliances (servicing),en
Household utensils,en
House painting,en
House renovation,en
Housing agency work,en
Housing area surveillance,en
Housing inspection,en
Housing issues,en
HTML5,en
Hubs (installation and maintenance),en
Hull design,en
Human billboard,en
Human geography,en
Humanities,en
Human resources budget,en
Human rights,en
Human rights (teaching),en
Hunting inspection,en
Hunting tourism,en
Hydraulic engineering,en
Hydraulic pressing,en
Hydraulics,en
Hydrobiology,en
Hydrochemistry,en
Hydrodynamics,en
Hydrodynamic technology,en
Hydroelectric power plant (maintenance),en
Hydrogeology,en
Hydrogeology (teaching),en
Hydrography,en
Hydrology,en
Hygienic food handling,en
Hyperactive pupils (care),en
Hyperactive pupils (special teaching methods),en
HyperMesh,en
Hypertension (nursing),en
IBM Cognos Impromptu,en
IBM Cognos ReportNet,en
IBM FileNet Content Manager,en
IBM i,en
IBM OS/390,en
IBM Rational Rose,en
IBM RPG,en
IBM Websphere,en
Icebreaker,en
Ice cream,en
Ice hockey  (training/coaching),en
Ice skate sharpening,en
Ice skating (training/coaching),en
Icon painting,en
Identify environmental impact,en
Identify ethical issues,en
Identify live topics,en
Identify mathematical problem,en
Identify online threats,en
Identify patterns,en
Identify risks,en
Identify social impact,en
Identify stakeholders involved in problem,en
Identify tasks,en
IGrafx FlowCharter,en
IIS web server,en
Illustrate mathematical findings,en
Illustration,en
Illustrator,en
Image editing,en
Image processing,en
Image therapy,en
Imagineer,en
Imitation,en
Immigrant psychology,en
Immunochemical methods (biochemical/clinical analysis),en
Immunology (immune system development/function),en
Immunology (teaching),en
Implants (dental),en
Implants (dental nursing),en
Implement environmentally-sustainable work practices,en
Implement equality  policies,en
Implement organisational policies,en
Implement safety policies,en
Implements design,en
Implement strategy,en
Import and export documentation,en
Improvement of acoustic environments,en
Improvisation,en
IMS,en
Income-tax returns,en
Incontinence aids,en
InDesign,en
Indexing table,en
Indian cuisine,en
Individual therapy,en
Indonesian cuisine,en
Indoor bandy (training/coaching),en
Induction-coupled plasma spectrometry/mass spectrometry (ICP-MS),en
Induction-coupled plasma spectrometry (ICP),en
Industrial/economic engineering,en
Industrial and office equipping,en
Industrial archaeology,en
Industrial cleaning,en
Industrial control systems,en
Industrial decontamination,en
Industrial design,en
Industrial economics (teaching),en
Industrial engineering,en
Industrial environmental engineering,en
Industrial equipping,en
Industrial insulation (fitting),en
Industrial law (teaching),en
Industrial manufacturing (teaching),en
Industrial medicine,en
Industrial medicine (nursing),en
Industrial painting,en
Industrial painting (iron structures),en
Industrial photography,en
Industrial pipe fitting,en
Industrial planning,en
Industrial premises  (maintenance),en
Industrial processing (teaching),en
Industrial property (real estate),en
Industrial refrigeration,en
Industrial sales,en
Industrial sewing,en
Industrial textile and clothing (teaching),en
Industrial wood (teaching),en
Industry and trade issues,en
Industry insulation,en
Infection prevention,en
Infectious diseases,en
Infectious diseases (medicine),en
Infectious diseases (nursing),en
Infectious diseases (teaching),en
Inferno,en
Inflation,en
Inflation analysis,en
Influence,en
Infor EAM Enterprise,en
Infor Epiphany,en
Infor LX,en
Information activities (association),en
Informational material (layout),en
Information analysis (teaching),en
Information and communications,en
Information on pharmaceuticals,en
Information technology (teaching),en
Informix,en
Infor Orbis Marketing Resource Management (MRM),en
Infor XA,en
Ingres,en
Injected insulation,en
Injection moulding,en
Innershield arc welding,en
Inorganic chemistry,en
Inorganic chemistry (teaching),en
Insemination,en
Insolvency matters,en
Inspection,en
Inspection (purpose-built vehicles),en
Inspection diving,en
Inspection of line systems,en
Install anti-virus software,en
Installation technology,en
Instrument maintenance,en
Instrument optics,en
Insulating glass (fitting),en
Insulating material (manufacturing),en
Insulation (heating/ ventilation/sanitation systems),en
Insulation standards,en
Insulation technology,en
Insurance (staff administration),en
Insurance law,en
Insurance sales,en
Insurance services,en
Integrated circuits,en
Integrated school/childcare,en
Integrated services digital network (network administration),en
Integrated services digital network (vulnerability analysis),en
Integration issues,en
Intellectual property law,en
Intellectual property law (teaching),en
Intelligent transport system (international haulage),en
Intensive care (nursing),en
Intensive care (physiotherapy),en
Intensive care (teaching),en
Interact electronically,en
Interaction design,en
Interface design (providing training),en
Interim report,en
Interior decorating products,en
Interior fittings carpentry (repairing),en
Internal audit (safety regulations),en
Internal medicine,en
Internal medicine (teaching),en
Internal telephone network (installation),en
International development (teaching),en
International economics,en
International law,en
International law (teaching),en
International organisations,en
International procurement,en
International school,en
International tax law,en
International traffic (bus),en
International traffic (lorry),en
International traffic (planning),en
Internet/intranet (information search),en
Internet/intranet (network administration),en
Internet/intranet (vulnerability analysis),en
Internet Explorer,en
Internet protocol (IP) telephony technology,en
Internetwork Packet Exchange/Sequenced Packet Exchange (communications protocol),en
Interpretation work,en
Interpret data,en
Interpreting,en
Interrogating,en
Interviewing (personal interviews),en
Interviewing (street interviews),en
Intrastat accounting,en
Intrument rating (IR),en
Inventor,en
Investigational sociology (teaching),en
Investigations,en
Invisible darning,en
In vitro fertilisations treatment and care (IVF),en
Invoicing,en
Ion chromatography (IC),en
Iris diagnostics,en
IRIX,en
Iron age archaeology,en
Ironing,en
Iron painting,en
Iron structure erection,en
Ironware work,en
ISO/TR 10013:2001 (guidelines for quality management system documentation),en
ISO 10005:2005 (guidelines for quality plans),en
ISO 10006:2003 (guidelines for quality management in projects),en
ISO 10007:2003 (guidelines for configuration management),en
ISO 10012:2003 (measurement equipment requirements),en
ISO 10015:1999 (guidelines for training),en
ISO 8879:1986 (standard generalized markup language (SGML)),en
ISO 9000:2005 (funcamentals quality management system),en
ISO 9001:2008 (quality management system),en
ISO 9004:2009 (sustained success),en
Isoelectric focusing (IEF),en
Isometric projection,en
Isotope dilution techniques,en
Issuing of financial instruments,en
Italian cuisine,en
Italian language teaching,en
IT auditing,en
IT journalism,en
IT law,en
Japanese cuisine,en
Java,en
Java Builder,en
Java-script,en
Jazz dance,en
Jazz dance (teaching),en
Jazz playing,en
Jazz vocal performance,en
JBuilder,en
JD Edwards,en
Jewellery,en
Jewellery making,en
Jewellery valuation,en
Jig drilling,en
Job control language (JCL),en
Job-specific skills/competences,en
Jockeying,en
Joint-foam handling,en
Jointing work,en
Journalism,en
Journalism and information,en
JSP,en
Judge work,en
Judo (training/coaching),en
Juggling,en
Juice factory production,en
Keen senses,en
Keeping laboratory animals,en
Kennel work,en
Kettledrums playing,en
Keyboard (teaching),en
Keyboard playing,en
Keyed fiddle playing,en
Key manufacturing,en
Key ratio comparisons,en
Kindergarten,en
Kinesiology (deficiences, imbalance of the body),en
Kitchen fitting products,en
Kitchen fittings,en
Knitting,en
Knitting machines,en
Knowledge-based systems (teaching),en
Korean cuisine,en
Kosher cooking,en
Labelling,en
Laboratories planning,en
Laboratory analysis,en
Laboratory animals (providing training),en
Labour law,en
Labour legislation issues,en
Labour market economics,en
Labour market economics (teaching),en
Labour market interpretation,en
Labour market issues,en
Labour market policies,en
Labour union (teaching),en
LabVIEW,en
Lace making,en
Ladies' clothes,en
Ladle operation,en
Lamb slaughter,en
Lamination,en
Lampshade sewing,en
LAN (network administration),en
LAN (vulnerability analysis),en
Land clearing (linework for power lines and electric cables),en
Landing gear (maintenance),en
Land law (teaching),en
Landscape architecture,en
Landscape planning,en
Land surveying,en
Land use,en
Land use planning,en
Language,en
Language and communication,en
Language check,en
LANtastic,en
Large format copying,en
Large mammals taxidermy,en
Large pipe welding,en
Laser cutting,en
Laser physics,en
Laser welding,en
Latin (teaching),en
Latin American dancing,en
Latin American dancing (teaching),en
Laundry,en
Laundry and cleaning responsibility,en
Law,en
Law,en
Law (teaching),en
Lawn care,en
Law of torts,en
Layout,en
Layout programs (providing training),en
Leadership development,en
Leading others,en
Lead mounting,en
Leaflet distribution,en
Learn from mistakes,en
Learning,en
Leather cleaning,en
Leather goods,en
Leather sewing,en
Leather stitching,en
Leather upholstery,en
Lectra,en
Lecture interpretation,en
Lecturing,en
Ledge fixing,en
Ledger keeping,en
Legal sociology,en
Legal studies,en
Legal terminology,en
Leg gathering,en
Leg making,en
Lehr,en
Lens grinding,en
Lettering,en
Letter of credit,en
Letterpress printing,en
Level measurement systems,en
Lexicographical work,en
Ley farming,en
Liability insurance,en
Liasion duties,en
Liasion interpretation,en
Library science,en
Library science (teaching),en
LibreOffice,en
Lien law,en
Life cycle analysis (ISO 14040 and ISO 14044 series),en
Life cycle cost (LCC),en
Lifeguarding,en
Life insurance,en
Life sciences,en
Lift assembly,en
Lighthouse keeping,en
Lighting (decoration),en
Lighting (film production),en
Lighting (multimedia),en
Lighting (stage production),en
Lighting (teaching),en
Lighting (TV production),en
Lighting (video production),en
Lighting engineering,en
Lighting supervision,en
Lightscape 3D,en
Lightwave 3D,en
Lightworks,en
Limnology,en
Limousine driving,en
Line maintenance,en
Lingo,en
Linguistic review / evaluation,en
Linguistics,en
Linguistics (teaching),en
Linguistic science,en
Linocut,en
Linux,en
Liquid Chromatography/High Performance Liquid Chromatography,en
Lisp,en
Literary theory (teaching),en
Literature (teaching),en
Litigation,en
Live broadcasting,en
Livestock breeding,en
Livestock production,en
Loading,en
Loan on goods,en
Local in-family supporting,en
Lock and security system servicing,en
Locksmith work,en
Log forwarder,en
Logging contracting,en
Logging machine driving,en
Logging planning,en
Logging truck driving,en
Logic management and development model,en
Logistics,en
Log marking for cross-cutting,en
Log measurement (providing training),en
LogoMotion 3D,en
Long beam (replacement of cutting head, cutting wheel etc.),en
Long distance haulage,en
Long-distance train dispatching (providing training),en
Long hair styling,en
Lorries,en
Lorry driving (providing training),en
Lorry mechanics,en
Lorry-mounted concrete pump,en
Lorry-mounted crane <18 tonne-meters,en
Lorry painting,en
Lorry piloting (loading/unloading),en
Lotus 1-2-3,en
Lotus Domino,en
Lotus Notes,en
LotusScript,en
Low pressure casting,en
Low voltage technology,en
LS-Dyna,en
Lucite application,en
Lute (teaching),en
Lute playing,en
Lyrical coloratura soprano voice,en
Machine assembly,en
Machine design,en
Machine engraving,en
Machine maintenance (farm machinery),en
Machine maintenance (forestry machinery),en
Machine maintenance (park area machinery),en
Machine maintenance (process industry),en
Machine moulding,en
Machine operation (baking industry),en
Machine operation (chemical engineering),en
Machine operation (food industry),en
Machine operation (glass factory),en
Machine operation (metal and minerals industry),en
Machine operation (rubber and plastics industry),en
Machine operation (skin and leather industry),en
Machine operation (steel and metals works),en
Machine operation (textile industry),en
Machine operation (tobacco industry),en
Machine operation (typographical and paper industry),en
Machine operation (wood and paper industry),en
Machine painting,en
Machinery design,en
Machinery electronics (trouble-shooting/repairing),en
Machinery operation (ore processing),en
Machine setting,en
Machine tools,en
Machine tool setting,en
Machine trailer driving,en
Machining technology,en
Macintosh computers (installation and maintenance),en
MacOS,en
Magazines,en
Magnetic control of metal products,en
Magnetic resonance imaging,en
Magnetic separation,en
MAG welding,en
MAG welding with tubular electrode,en
Mail sorting,en
Mainframes (installation and maintenance),en
Mainframes (operation and surveillance),en
Main pipe laying,en
Maintain online privacy and security,en
Maintenance (medical-technical equipment),en
Maintenance inspection (roofs and fronts),en
Maintenance of DC systems,en
Maintenance planning (buildings),en
Maintenance planning system,en
Maintenance work (joinery),en
Maintenance work (water, sewage, streets),en
Major construction project (experience),en
Make an effort,en
Make appropriate use of eye contact,en
Make appropriate use of personal space,en
Make appropriate use of touch,en
Make ethical choices,en
Make judgements,en
Make-up,en
Makro economics,en
Mammography,en
Manage electronic information,en
Manage frustration,en
Manage hardware,en
Manage learning process,en
Management / organisation,en
Manage software,en
Manage the learning self,en
Manage time,en
Mandolin (teaching),en
Mandolin playing,en
Mangling,en
Manual cheese-making,en
Manual packaging,en
Manual therapy,en
Manual welding,en
Manufacturing and processing materials,en
Manufacturing and processing of food,en
Manufacturing and processing of textiles, clothes, footwear, leather,en
Manufacturing of accordions,en
Manufacturing of drums,en
Manufacturing of interior fittings carpentry,en
Manufacturing of orthopaedic inlays,en
Manufacturing of plastic moulds,en
Manufacturing of sails,en
Manufacturing of wind instruments,en
Map engraving,en
Marimba (teaching),en
Marimba playing,en
Marine archaeology,en
Marine biology,en
Marine geology,en
Marine geology (teaching),en
Marine technology,en
Maritime law,en
Market analysis,en
Marketing (market communication),en
Marketing  (public relations),en
Marketing (teaching),en
Marketing athletes,en
Market law,en
Market surveys (result analysis),en
Market surveys (statistical analysis),en
Marking out (surveying),en
Marquetry,en
Masking,en
Masonry,en
Massage,en
Massage therapy,en
Mass spectrometry,en
MasterCAM,en
Master design production,en
Master-setting (printing),en
Material and production control,en
Materials control,en
Materials flow,en
Materials management,en
Materials science (teaching),en
Materials technology,en
Materials technology (sales),en
Material testing,en
Maternity clinic (nursing),en
Maternity ward (nursing),en
Mathematical/theoretical physics,en
Mathematical/theoretical physics (teaching),en
Mathematical statistics,en
Mathematical statistics (teaching),en
Mathematics,en
Mathematics (teaching),en
Mathematics and statistics,en
MATLAB,en
Maxillary surgery (dental nursing),en
MCC (Multicrew Cooperation),en
Measure,en
Measuring technology,en
Meat,en
Meat (filleting),en
Meat products,en
Meat products (manufacturing),en
Mechanical components,en
Mechanical design,en
Mechanical engineering,en
Mechanical engineering (sales),en
Mechanical engineering (teaching),en
Mechanical looms,en
Mechanical measuring,en
Mechanical mounting,en
Mechanical repair work,en
Mechanical testing,en
Mechanical track adjustment,en
Mechanics,en
Mechanics (teaching),en
Mechanics of materials (teaching),en
Mechanised book-binding,en
Mechanised packaging,en
Media (teaching),en
Media 100,en
Media and communication science,en
Media engineering,en
Media law,en
Media law (teaching),en
Media strategy,en
Media teaching methods,en
Media technology,en
Medical care economics,en
Medical chemistry (biomedical analysis),en
Medical chemistry (teaching),en
Medical device engineering,en
Medical documentation,en
Medical electronics,en
Medical gastroenterology/hepatology (teaching),en
Medical interpretation,en
Medical law,en
Medical physics (teaching),en
Medical prescriptions,en
Medical responsibility,en
Medical statistics,en
Medical terminology,en
Medical ward,en
Medicine,en
Medico-technical engineering,en
Medico-technical service,en
Medieval archaeology,en
Medusa,en
Meet commitments,en
MegaCAD,en
Melting (melting waste glass),en
Melting precious metals,en
Men's clothes,en
Menopause advice,en
Mensendieck pedagogics,en
Mental stress factors (nursing),en
Mentor,en
Menu planning,en
Merry-go-rounds (setting up/taking down),en
Metal (artistic preservation),en
Metal arc welding,en
Metal filing,en
Metal gold-plating,en
Metallurgic technology,en
Metallurgy,en
Metal polishing,en
Metal printing,en
Metal processing and mechanical engineering,en
Metal sawing,en
Metal sculpture,en
Metal spinning,en
Metal structure erection,en
Metal working (workshop),en
Meteorology,en
Meter fitting,en
Meter reading,en
Methodology (teaching),en
Methods engineering,en
Mexican cuisine,en
Mezzo-soprano voice,en
MFC program library,en
Microbiology,en
Microbiology (biomedical analysis),en
Microbiology (teaching),en
Micro-blasting,en
Microcalorimetric analysis,en
Microcalorimetry,en
Microcomputer control,en
Microeconomics,en
Microfilm,en
Microprocessor systems,en
Microsoft Access (database administration),en
Microsoft Access (operation),en
Microsoft Access (programming),en
Microsoft FrontPage,en
Microsoft PowerPoint,en
Microsoft Publisher,en
Microsoft Visual Studio,en
Microsoft Word,en
Microsoft Works,en
MicroStation (CAD software),en
MicroStrategy Business Intelligence,en
MicroStrategy Express,en
Micro-surgery,en
Microwave design,en
Microwave technology,en
MIG welding,en
Mildew clearing,en
Military logistics,en
Military medicine,en
Military music (instrumental performance),en
Military pentathlon (training/coaching),en
Military vehicles,en
Military weather service,en
Milk cow registration,en
Milk processing,en
Milk production,en
Milk quality control,en
Milk reception,en
Millinery (providing training),en
Milling (CNC),en
Milling (conventional machine),en
Milling of ore,en
Mime act design,en
Mime teaching,en
Mine-clearance diving,en
Mine construction,en
Mineralogy,en
Mineralogy (teaching),en
Minerals technology,en
Miniature golf (training/coaching),en
Minilab (photographic developing and printing),en
Minimise environmental risks,en
Mining,en
Mining engineering,en
Mining geology,en
Mining technology (sales),en
Minitab,en
Mink keeping,en
Minnesota model,en
Mission work,en
Mixed age group (teaching),en
Mixed techniques (arts),en
ML programming language,en
Mobile cranes,en
Mobiles (artistic sculptures),en
Mobile telephones,en
Mobile telephones (assembly),en
Mobile telephones (repairing),en
Mobility service driving,en
Model casting (pottery),en
Model dressmaking,en
Modelling (ceramics/porcelain),en
Modelling (fashion shows),en
Modelling ladies' clothes,en
Modelling men's clothes,en
Modelling work (tailoring),en
Modems (installation and maintenance),en
Modern dancing,en
Modern dancing (teaching),en
Modification work (furs),en
Modification work (tailoring),en
Molecular biology,en
Monetary policy,en
Money market,en
Monitor learning process,en
Monitor policy implementation,en
Monitor progress,en
Monitors (installation and maintenance),en
Montessori kindergarten,en
Montessori teaching,en
Monthly reports,en
Moped engine (repairing),en
Morse code,en
Mother tongue,en
Motif painting,en
Motif programming tool,en
Motivate staff and colleages,en
Motor campers,en
Motorcycle driving (providing training),en
Motorcycles,en
Motorcycles (repairing),en
Motorically impaired (job-focused rehabilitation),en
Motorsports,en
Motorsports (training/coaching),en
Motor vessel engineering,en
Mould casting (ceramics/porcelain),en
Mould grinding,en
Moulding core (manufacturing),en
Moulding tools (manufacturing),en
Mould manufacture,en
Mountain tourism (guide experience),en
Mounting tools (manufacturing),en
Mouth and jaw physiology,en
Movie Magic Scheduling,en
MS-DOS,en
MS Office,en
MS OneNote,en
MS Outlook,en
MS Outlook Express,en
MS Project,en
Multi-camera technique,en
Multicolour printing (unmixed basic colours),en
Multicultural kindergarten/school,en
MultiGen 3D,en
Multimedia (teaching),en
Multimedia production,en
Multimedia products,en
Multiple drilling,en
Multiple Virtual Storage (MVS),en
Multiplexer (installation and maintenance),en
Multi task,en
Municipal administration,en
Municipal law,en
Municipal law (teaching),en
Municipal workers' agreements,en
Mural painting,en
Muscle exercise (training/coaching),en
Museology,en
Museum knowledge dissemination,en
Museum warehouse work,en
Music (teaching),en
Musical arrangement,en
Musical instruments,en
Musical notation,en
Musical part,en
Musical science (teaching),en
Musical theory (teaching),en
Musical therapy,en
Musical work (children's care),en
Musicology,en
Music production,en
Music publishing,en
Music score reading,en
Mussel farming,en
Mutton cutting-up,en
Mycology,en
MySQL (database administration),en
MySQL (database development),en
Nailing (conventional machine),en
Naprapathy,en
Native language (teaching),en
Native language teaching,en
Natural language programming (NLP),en
Natural resource inventory,en
Natural science (teaching),en
Natural stone masonry,en
Natural waters conservation,en
Nature conservation,en
Nature conservation planning,en
Nature guiding,en
Naturopathic medicine,en
Navigation (providing training),en
Navy conscript (providing training),en
Negotiate,en
Negotiating,en
Negotiating experience,en
Neonatal nursing,en
Neonatology,en
Neonatology (teaching),en
Nephrology,en
Nephrology (teaching),en
NetBEUI,en
NetBIOS,en
Net-fishing,en
Net making machines,en
NetObjects Fusion,en
Netscape Server,en
Network administration,en
Network bridging (installation and maintenance),en
Networks (surveillance),en
Neurological occupational therapy,en
Neurology (medicine),en
Neurology (physiotherapy),en
Neurology (teaching),en
Neuropsychology,en
Neuroradiology,en
Neurosurgery,en
New constructions,en
News desk,en
News editing,en
Newspaper design (layout),en
Newspaper distribution,en
Newspaper printing,en
NGO work,en
Nickel-plating,en
Non-fiction (editorial adaptation),en
Non-linear editing (NLE),en
Non-verbal communication,en
Nordic languages (teaching),en
North American archaeology,en
Notice bias,en
Novell NetWare,en
Nuclear chemistry,en
Nuclear decontamination,en
Nuclear fuel handling,en
Nuclear magnetic resonance spectroscopy (NMR),en
Nuclear medicine,en
Nuclear physics,en
Nuclear physics (teaching),en
Nuclear power plant (maintenance),en
Nuclear power technology,en
Nuclear waste handling,en
Numeracy and mathematics,en
Numerical data recording,en
Numerical modelling,en
Nursing home,en
Nursing pedagogy (teaching),en
Nutrition,en
Nutrition (teaching),en
Nutrition counseling,en
NX (Unigraphics),en
Object-oriented analysis and design (OOAD),en
Object-oriented programming,en
Object-oriented programming (teaching),en
Oboe (teaching),en
Oboe playing,en
Observe 'netiquette',en
Obstetrics, gynaecology and urology (physiotherapy),en
Obstetrics and gynaecology,en
Obstetrics and gynaecology (teaching),en
Occupational and environmental medicine,en
Occupational dermatology,en
Occupational injuries (investigations),en
Occupational safety and health,en
Occupational sociology (teaching),en
Occupational therapy (assistance),en
Occupational therapy (teaching),en
Office cleaning,en
Office machines,en
Office premises (maintenance),en
Office removals,en
Off-line video editing,en
Offset printing,en
Oil burner fitting,en
Oil-damaged bird cleaning,en
Oil depot work,en
Oil drilling,en
Oil-fired boiler (maintenance),en
Oil painting (teaching),en
Oil plant cultivation,en
Oil spill removal,en
Oil tank (operation),en
Ok,en
Ok,en
Ok,en
Ok,en
Oncological care (nursing),en
Oncological surgery (nursing),en
Oncology (medicine),en
Oncology (physiotherapy),en
Oncology (teaching),en
On-line video editing,en
Open-air cultivation,en
Open blast cleaning,en
Open Database Connectivity (database administration),en
Open Database Connectivity (programming),en
OpenEdge Advanced Business Language,en
Open Shortest Path First (OSPF),en
OpenText Business Process Management (BPM),en
OpenText Customer Experience Management (CEM),en
OpenText Enterprise Content Management (ECM),en
Open Virtual Memory System (OpenVMS),en
Opera,en
Operating alarm (servicing),en
Operating systems (providing training),en
Operating theatre assistance,en
Operational monitoring,en
Operational responsibility (computing),en
Operations management,en
Operations managing (farming),en
Operations planning (data),en
Operations planning (mechanical engineering),en
Operations planning (power systems),en
Operations responsibility (power systems),en
Operations responsibility (water and sewage),en
Operative responsibility (construction),en
Ophthalmology (nursing),en
Ophthalmology (teaching),en
Ophthamology,en
Optical articles,en
Optical checking of metal products,en
Optical communication,en
Optical measuring,en
Optimisation (teaching),en
Options (finance),en
Optoelectronics,en
Oracle (database administration),en
Oracle (programming),en
Oracle CRM On Demand Solutions,en
Oracle E-Business Suite,en
ORACLE Fusion,en
Oracle Fusion Applications,en
Oracle Solaris,en
Oracle WebLogic Server,en
Oral surgery,en
Orchestra,en
Orchestral class (teaching),en
Orchestral conducting,en
Ore de-watering,en
Ore flotation,en
Organ (teaching),en
Organic chemistry,en
Organic chemistry (teaching),en
Organic farming,en
Organisational development,en
Organisational psychology,en
Organisational theory,en
Organise data,en
Organ pipe-making,en
Organ playing,en
Organ tuning,en
Oriental dancing,en
Oriental dancing (teaching),en
Orienteering (training/coaching),en
Ornamental objects (design),en
Ornaments (woodwork),en
Orthodontics,en
Orthodontics (dental nursing),en
Orthopaedic engineering,en
Orthopaedic manual therapy (physiotherapy),en
Orthopaedics (medicine),en
Orthopaedics (physiotherapy),en
Orthopaedics (teaching),en
Orthopaedic shoe design,en
Orthopaedic shoes (manufacturing),en
Orthopantomogram,en
Orthoptics  (nursing),en
OS/2 operating system,en
OS 2200,en
Osteology,en
Osteopathy,en
Otorhinolaryngology (teaching),en
Outdoor day nursery,en
Out-patient pharmacy work,en
Outplacement,en
Outside broadcasting (OB),en
Oven curing of paint,en
Overhead crane operation,en
Overhead line work,en
OWLNext (Object Windows Library),en
Package and mail delivery,en
Packaging,en
Packing for removals,en
Paediatric care,en
Paediatric medicine (nursing),en
Paediatric physiotherapy,en
Paediatrics,en
Paediatrics (teaching),en
Paediatric surgery (nursing),en
Paedodontology,en
Page layout work,en
PageSpinner HTML editor,en
Pain relief (medicine),en
Pain relief (nursing),en
Pain relief (physiotherapy),en
Pain relief and acupuncture (teaching),en
Paintbrush making,en
Painting (artistic preservation),en
Painting (construction projects),en
Painting and surface coating,en
Painting of construction sheet metal,en
Paint removal,en
Paleography,en
Paleontology,en
Palliative care (nursing),en
Pan flute playing,en
Pantomime,en
Paper and pulp technology,en
Paper and pulp technology (teaching),en
Paper cutting (bookbinding),en
Paper machine,en
Paper machine (operation),en
Paper products,en
Paper rolling,en
Paper technology (engineering),en
Paper technology (sales),en
Parachuting (training/coaching),en
Paradontology (dental nursing),en
Paradox (database administration),en
Paradox (programming),en
Parenting skills (guidance),en
Parents' cooperative,en
Parish administration,en
Park area machinery (operation),en
Park area planning,en
Park care-taking,en
Parking enforcement,en
Parking space surveillance,en
Parquet floor grinding,en
Parquet floor-laying,en
Particle physics,en
Particle physics (teaching),en
Party arrangements,en
Pascal programming language,en
Passenger car painting,en
Passenger carriages (repairing),en
Passenger ship,en
Passenger traffic,en
Passenger transport,en
Pastry-making,en
Patent engineering,en
Patent law,en
Patent law (teaching),en
Patient administration,en
Patient lift operating,en
Patient observation,en
Patination work,en
Patrolling on horseback (police),en
Pattern design (clothes),en
Pattern design (furs),en
Pattern design (shoes),en
Pattern design (teaching),en
Pattern laying,en
Pattern making (textile),en
Pattern making (woodwork),en
Paving,en
Payments,en
Payment systems,en
PC installation and maintenance,en
Peace and conflict studies,en
Peace and defence issues,en
Peat processing (equipment management),en
Peat processing (harvester driving),en
Peat processing (loading and unloading),en
Pedagogical leadership,en
Pedagogy,en
Pedagogy (teaching),en
Pedestrian-controlled pallet truck,en
Pedicure,en
Peer support,en
Pegasystems Build for Change,en
Pensions (staff administration),en
Pension schemes,en
PeopleSoft business administration system,en
People with impaired vision (special needs issues),en
Percussion instruments (teaching),en
Performance and security testing,en
Performance appraisals (administration),en
Performance appraisals (methods),en
Performances (arts),en
Perfumes and cosmetics,en
Periodontology,en
Perl programming language,en
PerlScript,en
Persist,en
Personal assistance,en
Personal services,en
Personnel recruitment,en
Persons with impaired hearing (special needs issues),en
Persons with learning difficulties (care),en
Persons with learning difficulties (job-focused rehabilitation),en
Persons with learning difficulties (occupational rehabilitation),en
Persons with learning difficulties (occupational therapy),en
Persons with learning difficulties (special needs  issues),en
Persuade,en
Persuading,en
Pest and insect control methods,en
Pesticide spraying,en
Petrochemistry,en
Petrol engine reconditioning,en
Petrol engines (repairing),en
Petrology,en
Petrology (teaching),en
Pet shop animals,en
Pet shop animals (animal health care),en
Pharmaceutical chemistry,en
Pharmaceutical industry,en
Pharmaceutical processing,en
Pharmaceuticals and health service products,en
Pharmaceutical technology,en
Pharmacognosy,en
Pharmacology,en
Pharmacology (teaching),en
Pharmacy,en
Philosophy (teaching),en
Phoniatrics (teaching),en
Phoniatrics and speech disorders (medicine),en
Photo etching,en
Photogrammetry,en
Photographic agency,en
Photography (artistic),en
Photography (digital camera),en
Photography (large-format camera),en
Photography (medium-format camera),en
Photography (small-format camera),en
Photography (teaching),en
Photography (tutoring),en
Photography of art and objects,en
Photography of children,en
Photogravure printing,en
Photosetting,en
PHP programming,en
Physical applications,en
Physical chemistry,en
Physical chemistry (teaching),en
Physical geography,en
Physical impairment (special teaching methods),en
Physical laboratory work,en
Physically focused psychotherapy,en
Physically impaired persons (caring),en
Physically impaired persons (special needs issues),en
Physically impaired pupils (experience),en
Physically impaired pupils (teaching),en
Physical movements (pre-school and schoolchildren's care),en
Physical sciences,en
Physical strength,en
Physical testing,en
Physical theatre (movement-based),en
